code,description,code_position,code_terminology
A50,Congenital syphilis,All,ICD-10
A500,"Early congenital syphilis, symptomatic",All,ICD-10
A501,"Early congenital syphilis, latent",All,ICD-10
A502,"Early congenital syphilis, unspecified",All,ICD-10
A503,Late congenital syphilitic oculopathy,All,ICD-10
A505,"Other late congenital syphilis, symptomatic",All,ICD-10
A506,"Late congenital syphilis, latent",All,ICD-10
A507,"Late congenital syphilis, unspecified",All,ICD-10
A509,"Congenital syphilis, unspecified",All,ICD-10
A51,Early syphilis,All,ICD-10
A515,"Early syphilis, latent",All,ICD-10
A519,"Early syphilis, unspecified",All,ICD-10
A52,Late syphilis,All,ICD-10
A520,Cardiovascular syphilis,All,ICD-10
A527,Other symptomatic late syphilis,All,ICD-10
A528,"Late syphilis, latent",All,ICD-10
A529,"Late syphilis, unspecified",All,ICD-10
A53,Other and unspecified syphilis,All,ICD-10
A530,"Latent syphilis, unspecified as early or late",All,ICD-10
A539,"Syphilis, unspecified",All,ICD-10
A65,Non-venereal syphilis,All,ICD-10
B332,Viral carditis,All,ICD-10
B376,Candidal endocarditis,All,ICD-10
I01,Rheumatic fever with heart involvement,All,ICD-10
I010,Acute rheumatic pericarditis,All,ICD-10
I011,IAcute rheumatic endocarditis,All,ICD-10
I012,Acute rheumatic myocarditis,All,ICD-10
I018,Other acute rheumatic heart disease,All,ICD-10
I019,"Acute rheumatic heart disease, unspecified",All,ICD-10
I02,Rheumatic chorea,All,ICD-10
I020,Rheumatic chorea with heart involvement,All,ICD-10
I05,Rheumatic mitral valve diseases,All,ICD-10
I051,Rheumatic mitral insufficiency,All,ICD-10
I06,Rheumatic aortic valve diseases,All,ICD-10
I060,Rheumatic aortic stenosis,All,ICD-10
I061,Rheumatic aortic insufficiency,All,ICD-10
I062,Rheumatic aortic stenosis with insufficiency,All,ICD-10
I068,Other rheumatic aortic valve diseases,All,ICD-10
I069,"Rheumatic aortic valve disease, unspecified",All,ICD-10
I07,Rheumatic tricuspid valve diseases,All,ICD-10
I09,Other rheumatic heart diseases,All,ICD-10
I090,I09.0 Rheumatic myocarditis,All,ICD-10
I091,"Rheumatic diseases of endocardium, valve unspecified",All,ICD-10
I092,Chronic rheumatic pericarditis,All,ICD-10
I098,Other specified rheumatic heart diseases,All,ICD-10
I099,"Rheumatic heart disease, unspecified",All,ICD-10
I30,Acute pericarditis,All,ICD-10
I300,Acute nonspecific idiopathic pericarditis,All,ICD-10
I301,Infective pericarditis,All,ICD-10
I308,Other forms of acute pericarditis,All,ICD-10
I309,"Acute pericarditis, unspecified",All,ICD-10
I310,Chronic adhesive pericarditis,All,ICD-10
I311,Chronic constrictive pericarditis,All,ICD-10
I32,Pericarditis in diseases classified elsewhere,All,ICD-10
I320,Pericarditis in bacterial diseases classified elsewhere,All,ICD-10
I321,Pericarditis in other infectious and parasitic diseases classified elsewhere,All,ICD-10
I328,Pericarditis in other diseases classified elsewhere,All,ICD-10
I33,Acute and subacute endocarditis,All,ICD-10
I330,Acute and subacute infective endocarditis,All,ICD-10
I339,"Acute endocarditis, unspecified",All,ICD-10
I38,"Endocarditis, valve unspecified",All,ICD-10
I39,Endocarditis and heart valve disorders in diseases classified elsewhere,All,ICD-10
I398,"Endocarditis, valve unspecified, in diseases classified elsewhere",All,ICD-10
I40,Acute myocarditis,All,ICD-10
I400,Infective myocarditis,All,ICD-10
I401,Isolated myocarditis,All,ICD-10
I408,Other acute myocarditis,All,ICD-10
I409,"Acute myocarditis, unspecified",All,ICD-10
I41,Myocarditis in diseases classified elsewhere,All,ICD-10
I410,Myocarditis in bacterial diseases classified elsewhere,All,ICD-10
I411,Myocarditis in viral diseases classified elsewhere,All,ICD-10
I412,Myocarditis in other infectious and parasitic diseases classified elsewhere,All,ICD-10
I418,Myocarditis in other diseases classified elsewhere,All,ICD-10
I514,"Myocarditis, unspecified",All,ICD-10
I980,Cardiovascular syphilis,All,ICD-10
K101,"Giant cell granuloma, central",All,ICD-10
K672,Syphilitic peritonitis,All,ICD-10
L540,Erythema marginatum in acute rheumatic fever,All,ICD-10
M315,Giant cell arteritis with polymyalgia rheumatica,All,ICD-10
M316,Other giant cell arteritis,All,ICD-10
O981,"Syphilis complicating pregnancy, childbirth and the puerperium",All,ICD-10
Q796,Ehlers-Danlos syndrome,All,ICD-10
Q874,Marfan's syndrome,All,ICD-10
I050,Mitral stenosis,All,ICD-10
I052,Mitral stenosis with insufficiency,All,ICD-10
I058,Other mitral valve disease,All,ICD-10
I059,"Mitral valve disease, unspecified",All,ICD-10
I340,Mitral valve insufficiency,All,ICD-10
