code,description,phenotype_description,phenotype_abbreviation,esc_complexity_classification,code_position,code_terminology
K094,K09.4 Repair of persistent ostium primum,atrial septal defect,ASD,Moderate,All,OPCS-4
K10,K10 Repair of defect of interatrial septum,atrial septal defect,ASD,Moderate,All,OPCS-4
K101,K10.1 Repair of defect of interatrial septum using prosthetic patch,atrial septal defect,ASD,Moderate,All,OPCS-4
K102,K10.2 Repair of defect of interatrial septum using pericardial patch,atrial septal defect,ASD,Moderate,All,OPCS-4
K103,K10.3 Repair of defect of interatrial septum using tissue graft NEC,atrial septal defect,ASD,Moderate,All,OPCS-4
K104,K10.4 Primary repair of defect of interatrial septum NEC,atrial septal defect,ASD,Moderate,All,OPCS-4
K105,K10.5 Revision of repair of defect of interatrial septum,atrial septal defect,ASD,Moderate,All,OPCS-4
K108,K10.8 Other specified repair of defect of interatrial septum,atrial septal defect,ASD,Moderate,All,OPCS-4
K109,K10.9 Unspecified repair of defect of interatrial septum,atrial septal defect,ASD,Moderate,All,OPCS-4
K133,Percutaneous transluminal repair of defect of interatrial septum using prosthesis,atrial septal defect,ASD,Moderate,All,OPCS-4
K134,Percutaneous transluminal repair of defect of interatrial septum NEC,atrial septal defect,ASD,Moderate,All,OPCS-4
K141,Open enlargement of defect of atrial septum,atrial septal defect,ASD,Moderate,All,OPCS-4
K163,Percutaneous transluminal atrial septum fenestration closure with prosthesis,atrial septal defect,ASD,Moderate,All,OPCS-4
K302,K30.2 Revision of plastic repair of aortic valve,atrial septal defect,AVD,Moderate,All,OPCS-4
K091,Repair of defect of atrioventricular septum using dual prosthetic patches,atrioventricular septal defect,AVSD,Moderate,All,OPCS-4
K092,Repair of defect of atrioventricular septum using prosthetic patch NEC,atrioventricular septal defect,AVSD,Moderate,All,OPCS-4
K093,Repair of defect of atrioventricular septum using tissue graft,atrioventricular septal defect,AVSD,Moderate,All,OPCS-4
K095,Primary repair of defect of atrioventricular septum NEC,atrioventricular septal defect,AVSD,Moderate,All,OPCS-4
K096,Revision of repair of defect of atrioventricular septum,atrioventricular septal defect,AVSD,Moderate,All,OPCS-4
K098,Other specified repair of defect of atrioventricular septum,atrioventricular septal defect,AVSD,Moderate,All,OPCS-4
K099,Unspecified repair of defect of atrioventricular septum,atrioventricular septal defect,AVSD,Moderate,All,OPCS-4
K261,K26.1 Allograft replacement of aortic valve,aortic valve disease,AVD,Mild,All,OPCS-4
