code,description,code_position (in hospital datasets),code_terminology
905461000000000,"[RFC] Endocarditis, myocarditis, pericarditis",N/A,SNOMED
46701001,"[X]Acute myocarditis, unspecified",N/A,SNOMED
87648004,[X]Chronic rheumatic heart disease,N/A,SNOMED
50920009,[X]Myocarditis in other diseases classified elsewhere,N/A,SNOMED
22653005,[X]Myocarditis in other infectious+parasitic diseases CE,N/A,SNOMED
194989009,"[X]Nonrheumatic tricuspid valve disorder, unspecified",N/A,SNOMED
46701001,[X]Other acute myocarditis,N/A,SNOMED
312591002,[X]Other acute rheumatic heart disease,N/A,SNOMED
15555002,[X]Other forms of acute pericarditis,N/A,SNOMED
414341000,[X]Other giant cell arteritis,N/A,SNOMED
12023003,[X]Other rheumatic aortic valve diseases,N/A,SNOMED
23685000,[X]Other specified rheumatic heart diseases,N/A,SNOMED
41739008,[X]Pericarditis in bacterial diseases classified elsewhere,N/A,SNOMED
41739008,[X]Pericarditis in other infectious+parasitic diseases CE,N/A,SNOMED
195137008,Acquired cardiac septal defect,N/A,SNOMED
18192007,Active rheumatic fever with endocarditis,N/A,SNOMED
312591002,Active rheumatic fever with heart involvement,N/A,SNOMED
194709000,Active rheumatic fever with myocarditis,N/A,SNOMED
15676002,Active rheumatic fever with pericarditis,N/A,SNOMED
84871007,Active rheumatic fever with valvulitis,N/A,SNOMED
266237004,Acute and subacute bacterial endocarditis,N/A,SNOMED
266237004,Acute and subacute bacterial endocarditis NOS,N/A,SNOMED
194921005,Acute and subacute endocarditis,N/A,SNOMED
612081000000000,Acute and subacute endocarditis unspecified,N/A,SNOMED
194921005,Acute and subacute endocarditis unspecified,N/A,SNOMED
194921005,"Acute and subacute endocarditis unspecified, NOS",N/A,SNOMED
194926000,Acute and subacute infective endocarditis associated with another disorder,N/A,SNOMED
194926000,Acute and subacute infective endocarditis associated with another disorder,N/A,SNOMED
194926000,Acute and subacute infective endocarditis in diseases EC,N/A,SNOMED
194943002,Acute aseptic myocarditis of the newborn,N/A,SNOMED
111286002,Acute bacterial endocarditis,N/A,SNOMED
17079009,Acute bacterial pericarditis,N/A,SNOMED
173574009,Acute benign pericarditis,N/A,SNOMED
176401009,Acute bloody pericarditis,N/A,SNOMED
177291008,Acute effusive pericarditis,N/A,SNOMED
91357005,Acute endocarditis,N/A,SNOMED
420395004,Acute endocarditis associated with acquired immunodeficiency syndrome,N/A,SNOMED
420395004,Acute endocarditis associated with AIDS,N/A,SNOMED
713511002,Acute endocarditis co-occurrent with human immunodeficiency virus infection,N/A,SNOMED
53874003,Acute endopericarditis,N/A,SNOMED
174511002,Acute fibrinous pericarditis,N/A,SNOMED
194910001,Acute gonococcal pericarditis,N/A,SNOMED
266235007,Acute idiopathic pericarditis,N/A,SNOMED
459056003,Acute infectious endocarditis,N/A,SNOMED
459056003,Acute infective endocarditis,N/A,SNOMED
