code,description,code_terminology
9.05461E+14,"[RFC] Endocarditis, myocarditis, pericarditis",SNOMED
46701001,"[X]Acute myocarditis, unspecified",SNOMED
87648004,[X]Chronic rheumatic heart disease,SNOMED
50920009,[X]Myocarditis in other diseases classified elsewhere,SNOMED
22653005,[X]Myocarditis in other infectious+parasitic diseases CE,SNOMED
194989009,"[X]Nonrheumatic tricuspid valve disorder, unspecified",SNOMED
46701001,[X]Other acute myocarditis,SNOMED
312591002,[X]Other acute rheumatic heart disease,SNOMED
15555002,[X]Other forms of acute pericarditis,SNOMED
414341000,[X]Other giant cell arteritis,SNOMED
12023003,[X]Other rheumatic aortic valve diseases,SNOMED
23685000,[X]Other specified rheumatic heart diseases,SNOMED
41739008,[X]Pericarditis in bacterial diseases classified elsewhere,SNOMED
41739008,[X]Pericarditis in other infectious+parasitic diseases CE,SNOMED
195137008,Acquired cardiac septal defect,SNOMED
18192007,Active rheumatic fever with endocarditis,SNOMED
312591002,Active rheumatic fever with heart involvement,SNOMED
194709000,Active rheumatic fever with myocarditis,SNOMED
15676002,Active rheumatic fever with pericarditis,SNOMED
84871007,Active rheumatic fever with valvulitis,SNOMED
266237004,Acute and subacute bacterial endocarditis,SNOMED
266237004,Acute and subacute bacterial endocarditis NOS,SNOMED
194921005,Acute and subacute endocarditis,SNOMED
6.12081E+14,Acute and subacute endocarditis unspecified,SNOMED
194921005,Acute and subacute endocarditis unspecified,SNOMED
194921005,"Acute and subacute endocarditis unspecified, NOS",SNOMED
194926000,Acute and subacute infective endocarditis associated with another disorder,SNOMED
194926000,Acute and subacute infective endocarditis associated with another disorder,SNOMED
194926000,Acute and subacute infective endocarditis in diseases EC,SNOMED
194943002,Acute aseptic myocarditis of the newborn,SNOMED
111286002,Acute bacterial endocarditis,SNOMED
17079009,Acute bacterial pericarditis,SNOMED
173574009,Acute benign pericarditis,SNOMED
176401009,Acute bloody pericarditis,SNOMED
177291008,Acute effusive pericarditis,SNOMED
91357005,Acute endocarditis,SNOMED
420395004,Acute endocarditis associated with acquired immunodeficiency syndrome,SNOMED
420395004,Acute endocarditis associated with AIDS,SNOMED
713511002,Acute endocarditis co-occurrent with human immunodeficiency virus infection,SNOMED
53874003,Acute endopericarditis,SNOMED
174511002,Acute fibrinous pericarditis,SNOMED
194910001,Acute gonococcal pericarditis,SNOMED
266235007,Acute idiopathic pericarditis,SNOMED
459056003,Acute infectious endocarditis,SNOMED
459056003,Acute infective endocarditis,SNOMED
233881003,Acute infective pericarditis,SNOMED
81580000,Acute mediastinopericarditis,SNOMED
194906004,Acute meningococcal pericarditis,SNOMED
46701001,Acute myocarditis,SNOMED
194944008,Acute myocarditis - coxsackie,SNOMED
194945009,Acute myocarditis - diphtheritic,SNOMED
194946005,Acute myocarditis - influenzal,SNOMED
194950003,Acute myocarditis - meningococcal,SNOMED
194947001,Acute myocarditis - syphilitic,SNOMED
194948006,Acute myocarditis - toxoplasmosis,SNOMED
194949003,Acute myocarditis - tuberculous,SNOMED
194942007,Acute myocarditis associated with another disorder,SNOMED
194942007,Acute myocarditis in diseases EC,SNOMED
46701001,Acute myocarditis NOS,SNOMED
46701001,"Acute myocarditis, unspecified",SNOMED
30328003,Acute myoendocarditis,SNOMED
194921005,Acute myoendocarditis NOS,SNOMED
11176009,Acute myopericarditis,SNOMED
266235007,Acute nonspecific pericarditis,SNOMED
15555002,Acute pericarditis,SNOMED
194905000,Acute pericarditis - coxsackie,SNOMED
194910001,Acute pericarditis - gonococcal,SNOMED
194906004,Acute pericarditis - meningococcal,SNOMED
194916007,Acute pericarditis - pneumococcal,SNOMED
194917003,Acute pericarditis - staphylococcal,SNOMED
194918008,Acute pericarditis - streptococcal,SNOMED
194907008,Acute pericarditis - syphilitic,SNOMED
194908003,Acute pericarditis - tuberculous,SNOMED
15555002,Acute pericarditis - unspecified,SNOMED
194909006,Acute pericarditis - uraemic,SNOMED
194909006,Acute pericarditis - uremic,SNOMED
15555002,Acute pericarditis associated with another disorder,SNOMED
194903007,Acute pericarditis associated with another disorder,SNOMED
194905000,Acute pericarditis caused by human coxsackievirus,SNOMED
194909006,Acute pericarditis co-occurrent and due to uraemia,SNOMED
194909006,Acute pericarditis co-occurrent and due to uremia,SNOMED
194903007,Acute pericarditis in diseases EC,SNOMED
194903007,Acute pericarditis in diseases EC,SNOMED
15555002,Acute pericarditis NOS,SNOMED
194909006,Acute pericarditis secondary to uraemia,SNOMED
194909006,Acute pericarditis secondary to uremia,SNOMED
53874003,Acute periendocarditis,SNOMED
17668000,Acute pleuropericarditis,SNOMED
194916007,Acute pneumococcal pericarditis,SNOMED
50902000,Acute pneumopericarditis,SNOMED
2554006,Acute purulent pericarditis,SNOMED
233883000,Acute purulent pericarditis unspecified,SNOMED
81077008,Acute rheumatic arthritis,SNOMED
312591002,Acute rheumatic carditis,SNOMED
18192007,Acute rheumatic endocarditis,SNOMED
26424001,Acute rheumatic fever,SNOMED
26424001,Acute rheumatic fever NOS,SNOMED
18192007,Acute rheumatic fever with endocarditis,SNOMED
312591002,Acute rheumatic fever with heart involvement,SNOMED
194709000,Acute rheumatic fever with myocarditis,SNOMED
15676002,Acute rheumatic fever with pericarditis,SNOMED
