code,description,phenotype_description,phenotype_abbreviation,esc_complexity_classification,code_terminology
51442005,Congenital atresia of aortic valve;Imperforate aortic valve;Aortic valve atresia,aortic valve atresia/aplasia,AAP,Severe,SNOMED
204433005,Congenital aplasia of aorta;Aplasia of aorta,aortic valve atresia/aplasia,AAP,Severe,SNOMED
194983005,"Aortic valve regurgitation, nonrheumatic;""Aortic insufficiency, non-rheumatic"";Non-rheum. aortic incompetence;Non-rheumatic aortic sclerosis;""Aortic incompetence, non-rheumatic"";""Aortic regurgitation, non-rheumatic""",aortic regurgitation,AR,Mild,SNOMED
60234000,"Aortic insufficiency alone, cause unspecified;""Aortic regurgitation alone, cause unspecified"";Aortic valve incompetence;AR - Aortic regurgitation;Aortic valve insufficiency;Aortic incompetence;Aortic insufficiency;Aortic regurgitation;AI - Aortic incompetence;Aortic valve regurgitation",aortic regurgitation,AR,Mild,SNOMED
28656008,"Congenital aortic valve insufficiency NOS;Congenital insufficiency of aortic valve;Congenital aortic insufficiency;Congenital aortic regurgitation;""Congenital aortic valve insufficiency, unspecified"";AR - Congenital aortic regurgitation",aortic regurgitation,AR,Mild,SNOMED
253706007,Anomalous origin of coronary artery from pulmonary arterial tree,anomalous origin of the right coronary artery from pulmonary artery,ARCAPA,Moderate,SNOMED
450302005,Anomalous origin of left anterior descending coronary artery from pulmonary artery,anomalous origin of the right coronary artery from pulmonary artery,ARCAPA,Moderate,SNOMED
129582000,Congenital coronary artery fistula to pulmonary artery,anomalous origin of the right coronary artery from pulmonary artery,ARCAPA,Moderate,SNOMED
450301003,Anomalous origin of left coronary artery from pulmonary artery,anomalous origin of the right coronary artery from pulmonary artery,ARCAPA,Moderate,SNOMED
459066006,Anomalous origin of accessory coronary artery from pulmonary artery,anomalous origin of the right coronary artery from pulmonary artery,ARCAPA,Moderate,SNOMED
449085001,Pulmonary artery connecting to coronary artery via collateral artery,anomalous origin of the right coronary artery from pulmonary artery,ARCAPA,Moderate,SNOMED
74218008,Anomalous origin of coronary artery from pulmonary trunk;Coronary artery from pulmonary trunk;Coronary artery arising from main pulmonary artery,anomalous origin of the right coronary artery from pulmonary artery,ARCAPA,Moderate,SNOMED
458039003,Anomalous origin of left circumflex coronary artery from pulmonary artery,anomalous origin of the right coronary artery from pulmonary artery,ARCAPA,Moderate,SNOMED
450300002,Anomalous origin of right coronary artery from pulmonary artery,anomalous origin of the right coronary artery from pulmonary artery,ARCAPA,Moderate,SNOMED
253707003,Anomalous origin of coronary artery from right pulmonary artery,anomalous origin of the right coronary artery from pulmonary artery,ARCAPA,Moderate,SNOMED
461088006,Cardiovascular abnormality due to anomalous origin of coronary artery from pulmonary artery,anomalous origin of the right coronary artery from pulmonary artery,ARCAPA,Moderate,SNOMED
253708008,Anomalous origin of coronary artery from left pulmonary artery,anomalous origin of the right coronary artery from pulmonary artery,ARCAPA,Moderate,SNOMED
461109004,Anomalous course of coronary artery anterior to pulmonary trunk and aorta,anomalous origin of the right coronary artery from pulmonary artery,ARCAPA,Moderate,SNOMED
460582006,Anomalous origin of left coronary artery and right coronary artery from pulmonary artery,anomalous origin of the right coronary artery from pulmonary artery,ARCAPA,Moderate,SNOMED
71523008,Repair of ostium secundum defect with prosthesis by open heart technique,atrial septal defect,ASD,Mild,SNOMED
23970008,Enlargement of atrial septal defect in repair of total anomalous pulmonary venous connection,atrial septal defect,ASD,Moderate,SNOMED
247394006,"Insertion of King-Mills umbrella device for closure of septal defect;""Closure of atrial septal defect with umbrella device, King-Mills type""",atrial septal defect,ASD,Mild,SNOMED
7824000,Enlargement of pre-existing atrial septal defect,atrial septal defect,ASD,Mild,SNOMED
204315000,Atrial septal defect within oval fossa;Atrial septal defect of fossa ovalis;Fossa ovalis defect;ASD II - Secundum atrial septal defect;ASD2 - Secundum atrial septal defect;Ostium secundum defect;Secundum atrial septal defect;2 ASD - Secundum atrial septal defect;Ostium secundum type atrial septal defect,atrial septal defect,ASD,Mild,SNOMED
54109001,Repair of ostium secundum defect with tissue graft,atrial septal defect,ASD,Mild,SNOMED
698590007,History of closure of atrial septal defect using septal occluder device,atrial septal defect,ASD,Mild,SNOMED
442456000,Closure of atrial septal defect using septal occluder device,atrial septal defect,ASD,Mild,SNOMED
253371000,"Atrial septal defect through coronary sinus orifice;""Atrial septal defect, coronary sinus type""",atrial septal defect,ASD,Mild,SNOMED
95268002,Sinus venosus defect;Sinus venosus atrial septal defect,atrial septal defect,ASD,Moderate,SNOMED
17718000,Persistent ostium primum;Persistent ostium primum;Ostium primum defect;Ostium primum type interauricular septal defect;Atrial septum primum defect,atrial septal defect,ASD,Moderate,SNOMED
53344002,Repair of ostium primum defect with prosthesis,atrial septal defect,ASD,Moderate,SNOMED
204318003,Persistent ostium secundum;Patent ostium secundum;Other specified ostium secundum atrial septal defect;Ostium secundum atrial septal defect NOS,atrial septal defect,ASD,Mild,SNOMED
34444003,Repair of ostium secundum defect,atrial septal defect,ASD,Mild,SNOMED
405752007,Congenital atrial septal defect,atrial septal defect,ASD,Mild,SNOMED
233007001,Closure of coronary sinus atrial septal defect,atrial septal defect,ASD,Mild,SNOMED
60732002,"Atrial septal defect with endocardial cushion defect, partial type",atrial septal defect,ASD,Moderate,SNOMED
11748006,Repair of atrial septal defect with prosthesis by open heart technique,atrial septal defect,ASD,Mild,SNOMED
10870009,Repair of atrial septal defect in total repair of total anomalous pulmonary venous connection,atrial septal defect,ASD,Moderate,SNOMED
30123000,Percutan transluminal closure defect interatrial septum NEC;Transluminal prosthetic closure of atrial septal defect;Repair of atrial septal defect with prosthesis by closed heart technique;Percutaneous prosthetic closure of atrial septal defect,atrial septal defect,ASD,Mild,SNOMED
21526003,Repair of atrial septal defect with tissue graft;Closure of defect of interatrial septum using tissue graft,atrial septal defect,ASD,Mild,SNOMED
461092004,Spontaneous closure of residual atrial septal defect within oval fossa,atrial septal defect,ASD,Mild,SNOMED
429278003,History of repair of atrial septal defect;History of atrial septal defect repair,atrial septal defect,ASD,Mild,SNOMED
112811009,Closure of defect of interatrial septum;Atrioseptoplasty;Repair of atrial septum of heart;Repair of defect of atrial septum;Repair of atrial septal defect;Septal atrioplasty of heart;Atrioseptopexy;Repair of defect of interatrial septum;Correction of atrial septal defect;ASD - Repair of atrial septal defect;Closure of atrial septal defect,atrial septal defect,ASD,Mild,SNOMED
